daily,px,daily_px_change,weekly,weekly_weighted_px,weekly_px_change,monthly,monthly_weighted_px,monthly_px_change,yearly,yearly_weighted_px,yearly_px_change,daily_%_change,hist_vol10,hist_vol30,hist_vol50,hist_vol100,daily_labels
05/04/2021,8.1189,-0.0483,02/04/2021,8.1672,0.0596,31/03/2021,8.2519,0.8246,31/12/2020,7.4404,1.4893,-0.5914%,19.25703771,31.77431262,25.68970089,20.7144868,Mon
02/04/2021,8.1672,0.0439,26/03/2021,8.1076,0.8891,26/02/2021,7.4273,0.1198,31/12/2019,5.9511,0.6617,0.5404%,19.99195898,31.72010048,25.74353783,20.69584881,Fri
01/04/2021,8.1233,-0.1286,19/03/2021,7.2185,-0.3417,29/01/2021,7.3075,-0.1329,31/12/2018,5.2894,1.4912,-1.5584%,43.85883214,31.72861862,25.74276508,20.70413713,Thu
31/03/2021,8.2519,-0.0841,12/03/2021,7.5602,0.0277,31/12/2020,7.4404,-0.3831,29/12/2017,3.7982,0.2747,-1.0089%,43.5675478,31.1497451,25.42600075,20.55201988,Wed
30/03/2021,8.336,0.1256,05/03/2021,7.5325,0.1052,30/11/2020,7.8235,-0.5214,30/12/2016,3.5235,0.6063,1.5298%,46.60616555,30.81261799,25.35846875,20.61680396,Tue
29/03/2021,8.2104,0.1028,26/02/2021,7.4273,0.4621,30/10/2020,8.3449,0.6292,31/12/2015,2.9172,0.5822,1.2679%,46.86677384,30.74796945,25.25299183,21.75134981,Mon
26/03/2021,8.1076,0.163,19/02/2021,6.9652,-0.0697,30/09/2020,7.7157,0.3714,31/12/2014,2.335,0.1868,2.0517%,47.60033971,30.67867635,25.13539486,21.73033375,Fri
25/03/2021,7.9446,0.0069,12/02/2021,7.0349,-0.0231,31/08/2020,7.3443,0.3718,31/12/2013,2.1482,0.3646,0.0869%,47.30566551,30.64307084,24.749506,23.17508178,Thu
24/03/2021,7.9377,0.0041,05/02/2021,7.058,-0.2495,31/07/2020,6.9725,0.1196,31/12/2012,1.7836,-0.1073,0.0517%,47.27489601,30.63511667,24.93672111,23.25029232,Wed
23/03/2021,7.9336,0.132,29/01/2021,7.3075,-0.1095,30/06/2020,6.8529,0.0289,30/12/2011,1.8909,0.347,1.6920%,47.435369,30.74654583,24.98324026,23.24971229,Tue
22/03/2021,7.8016,0.5831,22/01/2021,7.417,-0.0556,29/05/2020,6.824,-0.1627,31/12/2010,1.5439,0.0453,8.0779%,48.25223131,30.52339422,24.78330622,23.08903652,Mon
19/03/2021,7.2185,-0.1041,15/01/2021,7.4726,0.1205,30/04/2020,6.9867,0.3715,31/12/2009,1.4986,-0.0419,-1.4216%,17.5972633,20.03567951,16.99893258,19.19305006,Fri
18/03/2021,7.3226,-0.1803,08/01/2021,7.3521,-0.0871,31/03/2020,6.6152,0.3683,31/12/2008,1.5405,0.3705,-2.4031%,26.48391318,19.48857031,17.17004757,19.16451617,Thu
17/03/2021,7.5029,0.0096,01/01/2021,7.4392,-0.1137,28/02/2020,6.2469,0.264,31/12/2007,1.17,-0.2456,0.1281%,23.21984636,18.2493229,16.22152615,18.83079189,Wed
16/03/2021,7.4933,-0.0442,25/12/2020,7.5529,-0.0703,31/01/2020,5.9829,0.0318,29/12/2006,1.4156,0.0646,-0.5864%,23.58527723,18.29707044,16.22218753,18.83837615,Tue
15/03/2021,7.5375,-0.0227,18/12/2020,7.6232,-0.222,31/12/2019,5.9511,0.2007,30/12/2005,1.351,0.0075,-0.3003%,24.23556498,18.23685325,16.37792583,18.89985422,Mon
12/03/2021,7.5602,0.077,11/12/2020,7.8452,0.0441,29/11/2019,5.7504,0.0368,31/12/2004,1.3435,-0.063,1.0290%,24.20865972,18.19750875,16.40272386,19.01677604,Fri
11/03/2021,7.4832,-0.0197,04/12/2020,7.8011,-0.0352,31/10/2019,5.7136,0.0632,31/12/2003,1.4065,-0.2486,-0.2626%,26.68262694,18.72840572,16.24366433,19.11617001,Thu
10/03/2021,7.5029,-0.1166,27/11/2020,7.8363,0.1982,30/09/2019,5.6504,-0.182,31/12/2002,1.6551,0.205,-1.5303%,27.03588055,18.79090972,16.23097985,19.12401608,Wed
09/03/2021,7.6195,-0.1438,20/11/2020,7.6381,-0.0172,30/08/2019,5.8324,0.2497,31/12/2001,1.4501,0.7816,-1.8523%,27.3094548,18.28557766,15.89581639,19.14509799,Tue
08/03/2021,7.7633,0.2308,13/11/2020,7.6553,-0.86,31/07/2019,5.5827,-0.211,29/12/2000,0.6685,0.6685,3.0641%,22.55646749,17.30342266,15.2350933,18.9372006,Mon
05/03/2021,7.5325,0.0153,06/11/2020,8.5153,0.1704,28/06/2019,5.7937,-0.0454,,,,0.2035%,19.11263463,15.14804232,13.70873727,18.2777783,Fri
04/03/2021,7.5172,0.056,30/10/2020,8.3449,0.3834,31/05/2019,5.8391,-0.127,,,,0.7505%,18.79272164,15.15273078,14.16043183,18.28719927,Thu
03/03/2021,7.4612,0.1028,23/10/2020,7.9615,0.0392,30/04/2019,5.9661,0.3954,,,,1.3970%,19.65392876,15.10332053,14.07977011,18.24092906,Wed
02/03/2021,7.3584,0.0689,16/10/2020,7.9223,0.0478,29/03/2019,5.5707,0.2337,,,,0.9452%,19.57142227,14.67525824,13.76781115,18.09700514,Tue
01/03/2021,7.2895,-0.1378,09/10/2020,7.8745,0.0997,28/02/2019,5.337,0.1724,,,,-1.8553%,19.74116908,14.46193027,13.55931541,18.02074642,Mon
26/02/2021,7.4273,0.0758,02/10/2020,7.7748,0.1109,31/01/2019,5.1646,-0.1248,,,,1.0311%,13.95345704,13.35914294,12.90550457,17.79014619,Fri
25/02/2021,7.3515,0.186,25/09/2020,7.6639,0.1014,31/12/2018,5.2894,0.0741,,,,2.5958%,16.5333643,12.96391101,12.6959045,17.709486,Thu
24/02/2021,7.1655,0.0572,18/09/2020,7.5625,0.0864,30/11/2018,5.2153,-0.3676,,,,0.8047%,10.78095334,11.18284619,11.27154633,17.22536684,Wed
23/02/2021,7.1083,0.0894,11/09/2020,7.4761,0.0378,31/10/2018,5.5829,-0.473,,,,1.2737%,10.81784955,10.89410091,11.3332445,17.21911665,Tue
22/02/2021,7.0189,0.0537,04/09/2020,7.4383,0.1081,28/09/2018,6.0559,-0.4837,,,,0.7710%,8.090310976,10.08060094,10.81650731,17.18581473,Mon
19/02/2021,6.9652,-0.0151,28/08/2020,7.3302,0.0139,31/08/2018,6.5396,1.6256,,,,-0.2163%,6.299135659,9.622703899,10.56177711,17.15342275,Fri
18/02/2021,6.9803,0.0009,21/08/2020,7.3163,-0.0539,31/07/2018,4.914,0.3211,,,,0.0129%,6.614214959,11.2436408,10.59367429,17.15282768,Thu
17/02/2021,6.9794,-0.0056,14/08/2020,7.3702,0.0906,29/06/2018,4.5929,0.0662,,,,-0.0802%,8.439270823,11.38130604,10.59297272,17.17204895,Wed
16/02/2021,6.985,0.0208,07/08/2020,7.2796,0.3071,31/05/2018,4.5267,0.4646,,,,0.2987%,8.376835054,11.41801839,10.8349613,17.18833282,Tue
15/02/2021,6.9642,-0.0707,31/07/2020,6.9725,0.1261,30/04/2018,4.0621,0.1068,,,,-1.0050%,7.646113882,11.67422818,10.79593736,17.2626996,Mon
12/02/2021,7.0349,0.0125,24/07/2020,6.8464,-0.0174,30/03/2018,3.9553,0.1561,,,,0.1780%,6.589717537,11.43951039,10.67004907,17.20138769,Fri
11/02/2021,7.0224,-0.0365,17/07/2020,6.8638,-0.0021,28/02/2018,3.7992,0.0438,,,,-0.5171%,9.177300975,11.38375247,10.65053858,17.48245058,Thu
10/02/2021,7.0589,-0.0078,10/07/2020,6.8659,0.0036,31/01/2018,3.7554,-0.0428,,,,-0.1104%,9.18050316,11.35211493,10.7119025,17.49728848,Wed
09/02/2021,7.0667,-0.0064,03/07/2020,6.8623,0.0023,29/12/2017,3.7982,-0.1218,,,,-0.0905%,9.038782201,11.69635142,10.93397041,17.56349962,Tue
08/02/2021,7.0731,0.0151,26/06/2020,6.86,0.0075,30/11/2017,3.92,0.1285,,,,0.2139%,10.98234062,11.69995947,11.0090026,17.58654128,Mon
05/02/2021,7.058,-0.08,19/06/2020,6.8525,0.0385,31/10/2017,3.7915,0.2282,,,,-1.1208%,10.40313443,11.75349132,10.99463382,17.60467326,Fri
04/02/2021,7.138,-0.0193,12/06/2020,6.814,0.044,29/09/2017,3.5633,0.1104,,,,-0.2697%,9.917245671,12.11002833,10.78131918,17.58400766,Thu
